,name,portion,caclium,fat,carbohydrates,vitamins,calories,protein,calcium
86,sashimi,147.0g,,0.34,4.08,0.0004,102,19.7,33.0
87,scallops,112.0g,,0.89,2.68,0.0004,89.0,15.2,23.0
88,seaweed salad,100.0g,,2.5,11.0,0.2,70.0,1.0,100.0
89,shrimp and grits,191.0GRM,,7.33,7.85,0.2,126,8.38,37.0
90,spaghetti bolognese,197.0GRM,,6.6,7.61,0.2,112,6.09,46.0
91,spaghetti carbonara,nannan,,1.48,8.05,0.202,51,1.41,27.0
92,spring rolls,NoneNone,,6.0,44.6,0.2,263,9.6,95.0
93,steak,0.8999999761581421g,,0.0,111.0,0.0,556,0.0,0.0
94,strawberry shortcake,135.0g,,13.3,31.1,0.30269999999999997,274,2.96,44.0
95,sushi,nannan,,0.67,18.39,0.2969,94,2.92,6.0
96,tacos,NoneNone,,9.17,15.1,0.0629,170,6.69,95.0
97,octopus balls,nannan,,12.96,13.39,0.065,226,13.25,55.0
98,tiramisu,nannan,,23.86,29.44,0.0631,353,5.65,65.0
99,tuna tartare,NoneNone,,15.6,0.34,0.062200000000000005,216,17.45,28.0
100,waffles,70.0g,,10.0,48.6,0.0,300,2.86,0.0
